	:=	const	do	while	end	if	write	$uni	$ro	$pm	read	var	(	)	procedure	then	,	.	odd	call	ε	;	$md	=	begin	$id	<常量说明部分>	<读语句>	<条件>	<S>	<参数组>	<过程首部>	<表达式组>	<写语句>	<当型循环语句>	<过程调用语句>	<表达式>	<因子组>	<变量说明部分>	<语句>	<标识符组>	<常量定义组>	<中间语句>	<程序>	<项>	<分程序>	<过程说明部分>	<常量定义>	<因子>	<赋值语句>	<条件语句>	<复合语句>
0		s2		r3		r3	r3				r3	r3			r3			r3		r3	r3				r3	r3	1																	4		3						
1				r9		r9	r9				r9	s5			r9			r9		r9	r9				r9	r9													6													
2																										s8																						7				
3																		s9																																		
4																					r0																															
5																										s11					10																					
6				r13		r13	r13				r13				s13			r13		r13	r13				r13	r13						12															14					
7																	s16				r6	r6																				15										
8																								s17																												
9																					r1																															
10																						s18																														
11														r12			s20				r12	r12																			19											
12		s2		r3		r3	r3				r3	r3			r3			r3		r3	r3				r3	r3	1																			21						
13																										s22																										
14				s25	r23	s31	s32				s24				r23			r23		s26	r23	r23			s33	s37		23						27	28	29				30										34	35	36
15																						s38																														
16																										s8																						39				
17								s40																																												
18				r8		r8	r8				r8				r8			r8		r8	r8				r8	r8																										
19														r10								r10																														
20																										s41																										
21				r13		r13	r13				r13				s13			r13		r13	r13				r13	r13						12															42					
22																						s43																														
23				r20	r20	r20	r20				r20				r20			r20		r20	r20	r20			r20	r20																										
24													s44																																							
25								s51					s46						s47							s52			45								49								48				50			
26																										s53																										
27				r21	r21	r21	r21				r21				r21			r21		r21	r21	r21			r21	r21																										
28				r18	r18	r18	r18				r18				r18			r18		r18	r18	r18			r18	r18																										
29				r19	r19	r19	r19				r19				r19			r19		r19	r19	r19			r19	r19																										
30				r2		r2	r2				r2				r2			r2		r2	r2				r2	r2																										
31								s51					s46						s47							s52			54								49								48				50			
32													s55																																							
33				s25	r23	s31	s32				s24				r23			r23		s26	r23	r23			r23	s37		23						27	28	29				56										34	35	
34				r16	r16	r16	r16				r16				r16			r16		r16	r16	r16			r16	r16																										
35				r17	r17	r17	r17				r17				r17			r17		r17	r17	r17			r17	r17																										
36				r22	r22	r22	r22				r22				r22			r22		r22	r22	r22			r22	r22																										
37	s57																																																			
38				r4		r4	r4				r4	r4			r4			r4		r4	r4				r4	r4																										
39																	s16				r6	r6																				58										
40																	r7				r7	r7																														
41														r12			s20				r12	r12																			59											
42				r14		r14	r14				r14				r14			r14		r14	r14				r14	r14																										
43		r15		r15		r15	r15				r15	r15			r15					r15					r15	r15																										
44																										s11					60																					
45			s61																																																	
46								s51					s46													s52											62								48				50			
47								s51					s46													s52											63								48				50			
48			r30	r30	r30	r30	r30		r30	s64	r30			r30	r30	r30		r30		r30	r30	r30			r30	r30							65																			
49									s66																																											
50			r33	r33	r33	r33	r33		r33	r33	r33			r33	r33	r33		r33		r33	r33	r33	s68		r33	r33												67														
51			r35	r35	r35	r35	r35		r35	r35	r35			r35	r35	r35		r35		r35	r35	r35	r35		r35	r35																										
52			r34	r34	r34	r34	r34		r34	r34	r34			r34	r34	r34		r34		r34	r34	r34	r34		r34	r34																										
53				r43	r43	r43	r43				r43				r43			r43		r43	r43	r43			r43	r43																										
54																s69																																				
55																										s11					70																					
56					r41																r41	s72																					71									
57								s51					s46													s52											73								48				50			
58																					r5	r5																														
59														r11							r11	r11																														
60														s74																																						
61				r23	r23	s31	s32				s24				r23			r23		s26	r23	r23			s33	s37		23						27		29				75										34	35	36
62														s76																																						
63			r27													r27																																				
64								s51					s46													s52																			77				50			
65			r28	r28	r28	r28	r28		r28		r28			r28	r28	r28		r28		r28	r28	r28			r28	r28																										
66								s51					s46													s52											78								48				50			
67			r31	r31	r31	r31	r31		r31	r31	r31			r31	r31	r31		r31		r31	r31	r31			r31	r31																										
68								s51					s46													s52																							79			
69				s25	r23	r23	s32				s24				r23			r23		s26	r23	r23			s33	s37		23						27	28	29				80										34		36
70														s81																																						
71					s82																																															
72				s25	r23	s31	s32				s24				r23			r23		s26	r23	r23			s33	s37		23						27	28	29				83										34	35	36
73				r24	r24	r24	r24				r24				r24			r24		r24	r24	r24			r24	r24																										
74				r37	r37	r37	r37				r37				r37			r37		r37	r37	r37			r37	r37																										
75				r42	r42	r42	r42				r42				r42			r42		r42	r42	r42			r42	r42																										
76			r36	r36	r36	r36	r36		r36	r36	r36			r36	r36	r36		r36		r36	r36	r36	r36		r36	r36																										
77			r30	r30	r30	r30	r30		r30	s64	r30			r30	r30	r30		r30		r30	r30	r30			r30	r30							84																			
78			r26													r26																																				
79			r33	r33	r33	r33	r33		r33	r33	r33			r33	r33	r33		r33		r33	r33	r33	s68		r33	r33												85														
80				r25	r25	r25	r25				r25				r25			r25		r25	r25	r25			r25	r25																										
81				r38	r38	r38	r38				r38				r38			r38		r38	r38	r38			r38	r38																										
82				r39	r39	r39	r39				r39				r39			r39		r39	r39	r39			r39	r39																										
83					r41																r41	s72																					86									
84			r29	r29	r29	r29	r29		r29		r29			r29	r29	r29		r29		r29	r29	r29			r29	r29																										
85			r32	r32	r32	r32	r32		r32	r32	r32			r32	r32	r32		r32		r32	r32	r32			r32	r32																										
86					r40																r40																															
